Run,Original GA,Adaptive GA
1,8897.756463859452,4460.37168504737
2,5123.524048210566,4170.923374869637
3,3303.710903925259,3748.855249271487
4,3794.012428780403,9044.338363875919
5,4232.314252236652,3968.876752035063
6,3511.75083260906,4619.665793255659
7,4231.28805176686,4448.864304216138
8,4895.43630008912,3349.447117823097
9,4915.274556157747,4022.082703880127
10,10166.669018994975,5225.80256039345
