Generation,Best Fitness,Mutation Probability
1,15834.557744432492,0.3
2,15350.868393513514,0.29137931034482756
3,15019.172306713444,0.2827586206896552
4,10557.338034839831,0.27413793103448275
5,10557.338034839831,0.2655172413793103
6,10557.338034839831,0.25689655172413794
7,10557.338034839831,0.2482758620689655
8,10557.338034839831,0.23965517241379308
9,10557.338034839831,0.23103448275862068
10,5345.164935821338,0.22241379310344828
11,5025.852755566002,0.21379310344827585
12,5025.852755566002,0.20517241379310344
13,5025.852755566002,0.19655172413793104
14,5025.852755566002,0.1879310344827586
15,5025.852755566002,0.17931034482758618
16,5025.852755566002,0.17068965517241377
17,5025.852755566002,0.16206896551724137
18,4785.222569989899,0.15344827586206897
19,4785.222569989899,0.14482758620689654
20,4785.222569989899,0.13620689655172413
21,4785.222569989899,0.1275862068965517
22,4785.222569989899,0.1189655172413793
23,4785.222569989899,0.1103448275862069
24,4785.222569989899,0.10172413793103446
25,4785.222569989899,0.09310344827586206
26,4785.222569989899,0.08448275862068966
27,4785.222569989899,0.07586206896551723
28,4785.222569989899,0.06724137931034482
29,4618.682445842804,0.05862068965517239
30,4618.682445842804,0.04999999999999999
