Generation,Best Fitness
1,15114.928894081444
2,4498.079816000376
3,4498.079816000376
4,4498.079816000376
5,4498.079816000376
6,4498.079816000376
7,4498.079816000376
8,4498.079816000376
9,4498.079816000376
10,4498.079816000376
11,4498.079816000376
12,4498.079816000376
13,4498.079816000376
14,4498.079816000376
15,4488.98641034444
16,4488.98641034444
17,4488.98641034444
18,4488.98641034444
19,4488.98641034444
20,4488.98641034444
