Seed,Fitness,Total Distance,Collision Count,Collision Penalty,Balance Penalty
42,3510.9955477171893,2499.0940208184275,0,0.0,101.1901526898762
43,4929.278579033896,2794.2502217013907,0,0.0,213.50283573325052
44,4372.383470310093,2926.255153935494,0,0.0,144.61283163745992
45,3530.2315190446498,2638.116026376425,0,0.0,89.21154926682247
46,3683.963731909793,2465.895859699226,0,0.0,121.80678722105668
47,10681.856951377824,3509.104022725226,1,5000.0,217.27529286525973
48,4244.424299016397,2796.3902492956354,0,0.0,144.80340497207607
49,4745.774932832504,2864.782198199984,0,0.0,188.099273463252
50,5159.779990507585,3129.251882616201,0,0.0,203.05281078913845
51,4369.750384953211,2851.926631492479,0,0.0,151.78237534607325
